​ A-Frame:error This HTML file is currently being served via the file:// protocol. Assets, textures, and models WILL NOT WORK due to cross-origin policy! Please use a local or hosted server: https://aframe.io/docs/0.5.0/introduction/getting-started.html#using-a-local-server. 
​ A-Frame Version: 1.1.0 (Date 2020-12-03, Commit #8aefd214)
​ THREE Version (https://github.com/supermedium/three.js): ^0.123.1
​ WebVR Polyfill Version: ^0.10.12
​ ~id,trial,time-ms,delta-ms,time-sec,left-valid,left-x,left-y,left-z,left-pitch,left-roll,left-yaw,left-direction-x,left-direction-y,left-direction-z,left-speed-x,left-speed-y,left-speed-z,left-grab,right-valid,right-x,right-y,right-z,right-pitch,right-roll,right-yaw,right-direction-x,right-direction-y,right-direction-z,right-speed-x,right-speed-y,right-speed-z,right-grab
​ ~0,0,1030.8000000119207,16.69999998807907,1,Y,-0.022939304,0.033686122999999964,-0.252442825,1.0867967602543311,3.123973360211818,0.5486756478010552,0.273592,0.8513689999999999,-0.44756900000000016,-118.201271,-0.9123340000000169,-76.207291,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,1047.4000000357623,16.600000023841858,1,Y,-0.025628464,0.033784228999999964,-0.25397963,1.09895735573857,3.1366362994347154,0.555198761422509,0.271355,0.8573129999999999,-0.43747100000000017,-159.993652,2.097170999999981,-85.584846,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,1064.1000000238414,16.69999998807907,1,Y,-0.027301847,0.033742534999999955,-0.254782532,1.098664606410665,3.1293457752925624,0.5502520998953494,0.268727,0.8578409999999999,-0.43805700000000014,-185.519196,-4.6224770000000195,-89.012688,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,1080.9000000357623,16.80000001192093,1,Y,-0.031192158,0.033796237999999965,-0.256223969,1.0978721566473288,3.099291210642916,0.5362549114853346,0.261315,0.8593079999999998,-0.43966500000000014,-225.363876,-0.060255000000018905,-85.109947,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,1097.4999999999995,16.599999964237213,1,Y,-0.035620617,0.03397556299999996,-0.257842316,1.0961886008972832,3.0659730652410473,0.5202601118678534,0.253276,0.8604699999999998,-0.4420890000000002,-288.390137,19.666661999999974,-104.57251,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,1114.3000000119202,16.80000001192093,1,Y,-0.040629185,0.03434305999999996,-0.259749603,1.0925752070027817,3.027848493323952,0.5057182361811837,0.246944,0.8603189999999998,-0.4459480000000002,-285.116791,13.993210999999976,-113.551643,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0
​ ~0,0,1130.9999999999993,16.69999998807907,1,Y,-0.045731346000000006,0.03491656899999996,-0.261458267,1.0885523532085537,2.995825042281499,0.4978838316942508,0.244438,0.8590809999999999,-0.44970000000000016,-284.373199,24.736407999999983,-82.499626,0,Y,0.115793892,0.009963565999999958,-0.269156616,1.2153628053655836,-2.648324205777384,0.15038370291180728,0.052658,0.9361949999999999,-0.3475140000000002,0,0,0,0
​ ~0,0,1147.9999999999993,17,1,Y,-0.050804256000000006,0.03566965099999996,-0.262970596,1.086874652276717,2.97612816007114,0.496539211379663,0.244436,0.8583259999999999,-0.4511410000000002,-281.979034,35.86967099999998,-63.12461900000001,0,Y,0.111125359,0.012696930999999958,-0.267770309,1.2562125746984054,2.962665432691543,-0.21835816550962506,-0.068498,0.9486919999999999,-0.30869400000000025,-138.687958,62.573914,-9.829742000000014,0
​ ~0,0,1164.4000000357619,16.400000035762787,1,Y,-0.053326363,0.036158946999999955,-0.263856125,1.0849762258728823,2.9664207774826234,0.4973976148377022,0.245738,0.8571769999999999,-0.4526160000000002,-278.777954,54.08375899999998,-97.88091300000002,0,Y,0.110910629,0.013097181999999959,-0.268025497,1.252811498070563,3.00768945306231,-0.25150843372280224,-0.080078,0.9468169999999999,-0.31164900000000023,-23.734474,44.24138299999999,-28.20713600000001,0
​ ~0,0,1181.100000023841,16.69999998807907,1,Y,-0.058154129,0.03709194899999996,-0.265212341,1.0870343378253884,2.9472513692885722,0.5025353742312823,0.247662,0.8576729999999999,-0.45062300000000016,-248.8797,55.65447199999998,-97.60988600000002,0,Y,0.11186249499999999,0.013443078999999959,-0.269577545,1.2495419586393155,3.069699308477107,-0.25009831185686066,-0.080398,0.9457689999999999,-0.3147350000000002,68.280602,15.210344999999977,-101.121956,0
